Respondent Number,Category 1: Materials,Category 1: Materials.1,Category 1: Materials.2,Category 1: Materials.3,Category 1: Materials.4,Category 2: Labor and Equipment,Category 2: Labor and Equipment.1,Category 2: Labor and Equipment.2,Category 2: Labor and Equipment.3,Category 2: Labor and Equipment.4,Category 2: Labor and Equipment.5,Category 2: Labor and Equipment.6,Category 2: Labor and Equipment.7,Category 3: Financing,Category 3: Financing.1,Category 3: Financing.2,Category 3: Financing.3,Category 3: Financing.4,Category 4: Design and Documentation,Category 4: Design and Documentation.1,Category 4: Design and Documentation.2,Category 4: Design and Documentation.3,Category 4: Design and Documentation.4,Category 4: Design and Documentation.5,Category 5: Management and Organization,Category 5: Management and Organization .1,Category 5: Management and Organization .2,Category 5: Management and Organization .3,Category 5: Management and Organization .4,Category 5: Management and Organization .5,Category 6: Schedule,Category 6: Schedule .1,Category 7: Contractual issues,Category 7: Contractual issues .1,Category 7: Contractual issues .2,Category 7: Contractual issues .3,Category 7: Contractual issues .4,Category 8: Scope of work,Category 8: Scope of work.1,Category 8: Scope of work.2,Category 8: Scope of work.3,Category 9: External issues,Category 9: External issues .1,Category 9: External issues .2,Respondant Information,Respondant Information.1,Respondant Information.2,Respondant Information.3,Respondant Information.4,Respondant Information.5
-1.7199806200458576,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,4,4,3,3,2,1,2,4,4,1,1,2,2,2,2,2,3,3,3,1,2,2,3,1,2,2,2,3,5
-1.6957555408902822,2,5,3,2,3,2,2,2,3,2,2,2,2,2,2,1,4,1,5,5,4,4,4,5,3,3,3,4,4,3,4,4,5,3,4,4,4,3,3,4,3,1,1,4,1,3,2,3,3,3
-1.6715304617347069,1,2,1,1,2,2,1,2,1,1,2,1,3,3,3,2,2,1,2,2,2,2,3,2,3,1,2,1,3,4,3,1,2,2,2,2,4,2,2,2,2,1,1,4,1,2,2,1,2,4
-1.6473053825791313,2,2,3,3,2,2,3,4,4,4,2,5,2,2,1,1,1,1,4,4,4,4,4,3,2,2,2,2,3,3,2,2,2,3,2,4,4,4,4,4,3,4,3,3,1,3,1,1,3,4
-1.623080303423556,1,2,1,1,2,2,1,2,1,1,2,1,2,4,4,2,2,1,2,2,2,2,3,2,4,3,2,1,3,4,3,1,2,2,2,2,4,2,2,2,2,1,1,4,1,2,3,1,2,4
-1.5988552242679803,1,1,1,1,1,2,2,2,1,1,1,2,1,4,4,4,4,1,4,4,4,4,4,4,2,2,2,1,1,3,3,4,2,2,2,2,2,3,2,3,3,2,2,2,1,4,2,1,3,5
-1.574630145112405,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,1,4,4,4,4,4,4,2,2,2,1,2,4,3,4,2,2,2,2,4,4,3,4,4,2,2,2,1,5,2,1,3,5
-1.5504050659568294,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,4,4,4,4,4,4,4,4,2,2,2,1,1,3,3,4,2,2,2,2,2,3,2,3,3,2,2,2,1,4,2,1,3,5
-1.526179986801254,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,4,4,4,4,4,4,2,2,2,1,2,4,3,4,2,2,2,2,2,4,3,4,4,2,2,2,1,4,2,1,3,5
-1.5019549076456786,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,2,4,4,4,4,4,4,2,2,2,1,1,3,3,4,2,2,2,2,2,3,2,3,3,2,2,2,1,4,2,1,3,5
-1.477729828490103,2,4,4,1,1,5,1,4,5,3,2,5,2,1,1,1,1,3,5,2,3,4,3,2,2,1,2,1,5,1,1,1,1,1,1,3,3,4,4,4,1,1,1,1,1,5,3,2,3,4
-1.4535047493345277,2,1,3,4,4,3,3,4,3,4,5,4,3,3,4,2,4,2,4,4,5,3,4,3,3,3,3,4,4,4,3,4,4,3,3,4,4,4,4,4,4,2,2,3,1,2,2,1,3,5
-1.429279670178952,5,5,5,5,3,3,4,5,2,4,5,3,5,5,5,2,5,5,5,4,5,3,3,5,3,5,5,5,5,5,3,3,1,1,2,3,5,5,5,3,4,3,5,5,1,5,2,1,3,3
-1.4050545910233767,4,4,3,3,4,3,3,4,4,4,4,4,4,5,5,5,4,4,4,3,3,4,3,4,4,4,4,4,4,5,4,4,4,4,4,3,3,4,4,4,4,4,4,4,1,2,3,1,3,5
-1.3808295118678013,2,5,2,3,4,5,4,5,5,5,5,5,4,3,5,5,5,2,5,5,5,3,5,3,3,3,3,3,4,3,2,2,1,3,3,2,3,5,4,4,3,3,2,3,1,1,3,2,3,3
-1.3566044327122257,3,3,2,4,1,4,2,3,2,3,3,2,4,3,3,1,4,1,2,3,2,2,2,1,2,1,2,2,2,4,2,1,2,1,1,4,3,2,3,4,3,1,1,2,1,2,2,2,3,5
-1.3323793535566504,5,3,2,4,4,5,5,5,5,5,4,5,4,4,4,5,3,4,4,4,4,5,5,3,4,4,4,5,5,5,4,4,4,5,4,5,5,4,4,5,5,5,5,5,1,3,2,2,1,2
-1.3081542744010748,4,3,3,3,3,4,4,4,5,4,3,4,3,4,4,3,3,3,5,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,5,2,5,3,1,5,3,2,3,3
-1.2839291952454994,1,5,3,3,4,1,2,1,3,4,5,3,5,2,3,3,2,2,4,5,4,1,4,4,1,1,2,4,2,2,2,2,4,3,3,2,1,1,5,5,3,2,4,1,1,5,2,3,3,1
-1.259704116089924,3,3,5,4,3,5,4,4,3,4,5,4,5,4,3,2,4,1,4,3,4,3,5,5,4,3,5,2,2,3,3,2,1,3,3,4,5,4,3,4,5,3,2,5,1,4,2,1,3,5
-1.2354790369343485,4,3,3,4,4,4,3,4,4,3,4,4,4,4,5,3,4,3,4,4,4,3,4,3,4,3,4,4,4,3,3,3,4,3,1,4,4,4,4,4,4,3,4,3,1,2,2,2,3,1
-1.211253957778773,4,3,4,3,5,4,5,4,4,5,3,4,4,3,4,3,5,2,3,5,3,4,5,3,3,4,5,3,4,4,2,4,4,3,5,4,3,3,4,2,5,3,2,4,1,5,2,1,3,3
-1.1870288786231975,2,4,5,2,5,3,5,1,4,3,2,3,5,5,5,1,5,1,5,5,5,5,5,5,3,2,5,3,5,5,1,4,5,1,1,5,5,5,5,4,2,1,2,5,1,5,2,2,3,1
-1.1628037994676221,3,2,4,3,3,3,4,4,4,3,3,3,4,3,3,3,3,3,3,3,3,3,2,3,3,3,3,4,4,3,3,3,4,3,4,3,3,3,2,3,3,3,2,4,1,1,2,2,3,4
-1.1385787203120465,2,3,3,2,3,2,3,3,3,3,4,4,3,3,3,3,3,3,4,5,3,4,3,4,4,3,3,4,3,3,3,3,3,3,3,3,3,4,4,3,5,2,2,4,1,5,2,1,3,4
-1.1143536411564712,4,3,4,2,3,2,1,3,5,4,3,5,1,1,4,5,1,1,4,5,5,1,4,2,1,3,3,3,2,2,3,3,3,4,4,5,5,5,5,4,4,2,4,1,1,3,3,2,1,1
-1.0901285620008958,4,4,5,3,4,4,4,3,4,4,4,3,2,3,4,4,4,4,3,4,4,4,4,4,3,3,3,4,4,3,3,2,3,3,2,3,4,3,4,3,2,2,3,3,1,4,2,2,3,2
-1.0659034828453202,3,2,3,2,1,3,3,3,3,4,4,3,4,3,3,3,4,3,2,2,3,3,3,2,2,2,2,3,3,4,3,3,2,2,2,3,4,5,5,5,3,5,5,5,1,3,2,1,2,4
-1.0416784036897448,2,2,3,2,1,2,2,3,2,3,2,3,2,4,4,2,3,2,2,2,2,2,2,4,2,2,2,2,3,3,3,2,3,4,2,4,3,4,4,3,2,2,2,4,1,2,3,2,2,5
-1.0174533245341693,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,1,4,4,4,4,4,4,3,3,3,1,1,3,3,4,2,2,2,2,2,3,2,3,3,2,2,2,1,4,2,1,3,5
-0.9932282453785939,4,3,2,3,3,2,3,2,3,2,3,2,3,3,2,3,2,3,3,2,3,2,3,3,2,2,2,3,2,3,3,3,3,2,2,4,3,5,5,5,5,1,1,1,1,3,2,1,2,4
-0.9690031662230184,2,2,3,2,1,2,2,3,2,3,2,3,2,4,4,2,3,2,2,2,2,2,2,4,2,2,2,2,3,3,3,2,3,4,2,4,3,4,4,3,2,2,2,4,1,2,3,2,1,5
-0.9447780870674429,4,3,2,3,4,3,3,2,2,2,2,3,4,2,2,3,2,5,2,2,3,4,5,3,3,3,3,2,3,2,2,2,2,2,2,3,4,5,5,5,5,1,1,1,1,3,2,1,2,4
-0.9205530079118674,1,2,1,1,2,2,1,2,1,1,2,1,3,3,3,2,2,1,2,2,2,2,3,2,3,2,3,1,4,4,3,2,2,2,2,2,4,2,2,2,2,1,1,4,1,2,3,1,2,4
-0.8963279287562921,2,2,2,2,3,2,2,2,2,2,2,3,2,3,2,3,2,2,4,4,3,3,3,4,4,4,4,3,5,5,4,1,3,3,4,3,5,4,4,5,2,3,2,3,1,2,2,2,3,5
-0.8721028496007166,3,4,4,3,2,2,3,2,3,2,4,4,5,5,5,4,4,3,5,5,5,5,4,5,3,4,5,2,4,5,5,4,5,5,4,5,3,5,5,5,5,2,2,5,1,5,2,2,3,3
-0.8478777704451411,4,3,1,3,1,4,4,4,4,4,4,3,3,3,3,2,4,2,3,3,1,2,3,4,3,2,3,4,5,2,3,3,2,3,5,4,2,3,3,3,3,2,2,4,1,3,3,2,2,5
-0.8236526912895656,4,3,3,3,3,5,5,5,5,5,4,4,4,2,2,3,3,3,3,2,2,4,3,2,3,4,4,4,4,3,4,4,3,4,4,5,3,5,3,3,4,3,2,4,1,2,2,2,3,4
-0.7994276121339902,3,5,2,2,3,2,3,2,2,3,3,2,2,5,4,4,5,2,5,4,4,4,4,3,4,3,4,4,4,4,3,3,5,3,4,4,5,4,5,4,3,3,3,5,1,3,3,1,2,4
-0.7752025329784147,4,3,1,3,1,4,4,4,4,4,4,3,3,3,3,2,4,2,3,3,1,2,3,4,3,2,3,3,4,5,2,3,3,2,3,5,4,2,3,3,3,2,2,4,1,3,2,2,2,5
-0.7509774538228393,4,5,3,4,4,4,5,4,4,5,4,4,4,5,5,5,4,3,5,4,4,4,4,3,4,3,4,4,4,5,3,3,5,4,3,4,5,3,5,4,4,3,3,5,1,3,3,1,2,4
-0.7267523746672638,4,3,1,3,1,4,4,4,4,4,4,3,3,3,3,1,2,3,3,3,1,2,3,4,3,2,3,3,4,5,2,3,3,2,3,5,4,2,3,3,3,2,2,4,1,3,2,2,1,5
-0.7025272955116884,4,5,3,4,4,4,5,4,4,4,4,4,4,5,5,5,4,3,5,4,4,4,4,3,4,3,4,4,4,4,4,4,1,2,3,4,5,4,5,4,4,3,3,5,1,3,3,1,2,4
-0.6783022163561129,4,5,3,4,4,4,5,4,4,5,4,4,4,5,5,5,4,3,5,4,4,4,4,3,4,3,4,3,3,4,4,4,,5,4,3,4,5,4,5,3,2,2,5,1,3,2,1,1,4
-0.6540771372005374,4,5,3,4,4,4,5,4,4,5,4,4,4,5,5,5,4,3,5,4,4,4,4,3,4,3,4,3,3,4,4,4,5,4,3,4,5,4,5,4,4,3,3,5,2,3,3,1,1,4
-0.629852058044962,4,5,3,4,4,4,5,4,4,5,4,4,4,5,5,5,4,3,5,4,4,4,4,3,4,3,4,4,4,5,4,4,5,4,3,4,5,4,5,4,4,3,3,5,2,2,3,1,3,4
-0.6056269788893865,4,3,3,3,3,5,5,5,5,5,4,4,4,4,4,3,3,3,3,2,2,4,3,2,3,4,4,5,5,5,4,4,3,4,4,5,4,5,3,3,4,3,2,4,2,2,2,2,3,4
-0.5814018997338111,1,1,2,2,2,4,4,3,4,4,5,5,5,5,5,5,4,3,3,4,3,4,4,4,3,2,4,5,5,5,3,2,4,5,5,4,5,5,5,4,5,3,5,4,2,5,2,1,1,5
-0.5571768205782356,4,2,4,4,3,4,5,3,5,3,5,5,5,4,4,3,2,2,4,5,4,4,4,4,3,3,4,4,5,5,3,3,4,3,4,4,3,4,4,4,4,3,3,3,2,5,3,2,3,3
-0.5329517414226601,5,4,4,5,2,5,5,5,4,4,4,4,5,3,5,4,5,3,4,4,4,4,4,4,5,4,5,5,4,5,5,4,4,5,4,4,4,5,4,5,4,4,4,4,2,5,3,1,1,4
-0.5087266622670846,4,2,4,3,3,4,4,3,4,3,3,5,4,2,2,3,3,3,4,3,2,3,4,4,3,3,3,2,2,3,4,4,4,3,3,4,3,4,4,3,4,3,3,2,2,5,2,1,3,4
-0.4845015831115092,5,4,4,5,2,5,5,5,4,4,4,4,5,4,5,4,5,3,4,4,4,4,4,4,5,4,5,5,4,5,5,4,4,5,4,4,4,4,5,4,5,4,4,4,2,4,2,1,3,3
-0.4602765039559337,5,4,1,3,1,4,4,4,4,4,4,3,3,3,3,2,4,2,3,3,1,2,3,4,3,2,3,3,4,5,1,2,3,2,3,5,4,2,3,3,3,2,2,4,2,3,2,2,3,5
-0.4360514248003583,4,5,3,4,4,4,5,4,4,5,4,4,4,5,5,5,4,3,5,4,4,4,4,3,4,3,4,4,4,5,4,4,5,4,3,4,5,4,5,4,4,3,3,5,2,2,3,1,3,4
-0.4118263456447828,2,3,4,2,4,3,2,3,4,3,4,5,5,3,5,4,5,4,5,4,5,3,5,5,3,4,4,3,3,4,3,3,3,4,3,4,4,4,5,4,4,3,3,3,2,3,2,1,3,5
-0.38760126648920734,1,1,1,1,1,5,5,3,2,5,5,5,4,5,5,5,5,3,5,4,4,3,1,1,2,2,5,5,5,5,2,2,3,5,4,5,3,4,5,4,5,2,1,5,2,3,2,1,1,5
-0.3633761873336319,1,1,4,3,4,4,4,4,5,3,3,5,5,4,2,3,2,5,5,4,3,5,5,4,4,3,4,4,3,5,5,3,3,2,2,5,3,4,5,4,3,2,2,4,2,5,2,1,3,4
-0.33915110817805644,1,1,4,3,4,4,4,4,5,3,3,5,5,3,2,4,2,5,5,4,3,5,5,3,3,5,3,4,4,5,5,3,3,4,4,3,1,4,5,4,3,2,2,4,2,5,2,1,3,4
-0.314926029022481,1,1,4,3,4,4,4,4,5,3,3,5,5,3,2,4,2,5,5,4,3,5,5,3,3,5,3,4,4,5,5,3,3,4,4,5,3,4,5,4,3,2,2,4,2,5,2,1,1,4
-0.29070094986690553,4,5,3,4,4,4,5,4,4,5,4,4,4,5,5,5,4,3,5,4,4,4,4,3,4,3,4,3,3,4,4,4,5,4,3,4,5,4,5,4,4,3,3,5,2,3,3,1,1,4
-0.26647587071133005,4,5,3,4,4,4,5,4,4,5,4,4,4,5,5,5,4,3,5,4,4,4,4,3,4,3,4,3,3,4,4,4,5,4,3,4,5,4,5,4,4,3,3,5,2,3,2,1,2,4
-0.2422507915557546,5,4,1,3,1,4,4,4,4,4,4,3,3,3,3,2,4,2,3,3,1,2,3,4,3,2,3,3,4,5,1,2,3,2,3,5,4,2,3,3,3,2,2,4,2,5,2,2,1,5
-0.21802571240017915,1,1,4,3,4,4,4,4,5,3,3,5,5,3,2,4,2,5,5,4,3,5,5,3,3,5,3,4,4,5,5,4,3,4,4,5,3,5,4,5,4,3,2,2,2,5,2,1,1,4
-0.19380063324460367,3,4,3,2,1,3,3,2,3,3,3,3,4,2,3,3,3,3,3,2,3,4,2,2,2,2,3,2,2,3,3,2,2,3,3,2,3,2,2,3,3,3,2,3,2,4,3,2,2,5
